rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
1977,瞎,xiā,xia,"become blind, pointlessly; 瞎子 xiāzi blind person",,,,
1978,钓,diào,diao,"(=钓鱼 diàoyú) to fish; 钓钩 diàogōu fishing hook",,,釣,
1979,肠,cháng,chang,intestine,,,腸,
1980,披,pī,pi,"drape over one's shoulders, open",,,,
1981,剥,bāo,bao,"shell, peel",,,剝,
1981,剥,bō,bo,"剥削 bōxuē exploitation",,,,
1982,誓,shì,shi,"(=发誓 fāshì) swear; 誓言 shìyán oath",,,,
1983,赚,zhuàn,zhuan,"gain, profit",,,賺,
1983,赚,zuàn,zuan,cheat,,,,
1984,役,yì,yi,"labor, required service, (=战役 zhànyì) battle; 兵役 bīngyì military service; 奴役 núyì enslave",,,,
1985,泡,pào,pao,"soak, bubble; 泡菜 pàocài pickle; 泡沫 pàomò foam",,,,
1985,泡,pāo,pao,spongy,,,,
1986,逆,nì,ni,"go against, disobey, be contrary to; 汉英逆引词典 Hanyǔ nì yǐn cídiǎn Reverse Chinese-English dictionary",,,,
1987,矮,ǎi,ai,"short (not tall), low; 矮子 ǎizi dwarf",,,,
1988,吊,diào,diao,"hang, lift up, let down with rope, crane, mourn, revoke",,,,
1989,填,tián,tian,"fill, stuff, fill in (form)",,,,
1990,嘉,jiā,jia,"good, fine, praise",,,,
1991,烛,zhú,zhu,"蜡烛 làzhú candle",,,燭,
1992,厦,shà,sha,"大厦 dàshà tall building, mansion",,,廈,
1992,厦,Xià,Xia,"厦门 Xiàmén Amoy",,,,
1993,夕,xī,xi,"evening, sunset; 夕阳 xīyáng the setting sun",,,,
1994,衰,shuāi,shuai,"衰弱 shuāiruò weak, feeble; 衰老 shuāilǎo decrepit; 衰退 shuāituì fail, decline",,,,
1994,衰,cuī,cui,"等衰 děngcuī rank, grade",,,,
1995,液,yè,ye,"fluid, (=液体 yètǐ) liquid",,,,
1996,薛,Xuē,Xue,"<family name>",,,,
1997,仆,pū,pu,"fall forward; 颠仆 diānpū fall (down), fall into disgrace",,,,
1997,仆,pú,pu,"(F僕) 仆人 púrén servant",,,,
1998,迈,mài,mai,"step, stride, old",,,邁,
1999,齿,chǐ,chi,"(=牙齿 yáchǐ) tooth",,,齒,
2000,谨,jǐn,jin,"(=谨慎 jǐnshèn) cautious, sincerely",,,謹,
2001,呈,chéng,cheng,"to present; 呈现 chéngxiàn appear; 呈报 chéngbào submit a report",,,,
2002,昂,áng,ang,"(=昂首 ángshǒu) hold one's head high, high, soaring",,,,
2003,抄,chāo,chao,"copy search and confiscate; 抄写 chāoxiě transcribe",,,,
2004,弥,mí,mi,"弥漫 mímiàn fill the air; 弥补 míbǔ make up for, remedy",,,彌,
2005,渴,kě,ke,"(=口渴 kǒukě) thirsty; 渴望 kěwàng thirst for, long for",,,,
2006,梯,tī,ti,"(=梯子 tīzi) ladder, (=楼梯 lóutī) stairs",,,,
2007,疏,shū,shu,"sparse, scanty; 疏忽 shūhu carelessness",,,,
2008,耗,hào,hao,"(=消耗 xiāohào, =耗费 hàofèi) consume; 耗子 hàozi mouse, rat",,,,
2009,瞪,dèng,deng,"open (one's eyes) wide, stare, glare; 瞪眼 dèngyǎn stare, stare down",,,,
2010,斥,chì,chi,"排斥 páichì reject; 驳斥 bóchì refute, denounce, reject, 斥责 chìzé denounce",,,,
2011,夸,kuā,kua,"brag; 夸大 kuādà exaggerate",,,誇,
2012,蒂,dì,di,"stem of a fruid; 烟蒂 yāndì cigarette butt; 阴蒂 yīndì clitoris",,,,
2013,剪,jiǎn,jian,"(=剪刀 jiǎndāo) scissors",,,,
2014,娶,qǔ,qu,"marry (a woman), take a wife, get married",,,,
2015,痕,hén,hen,"痕迹 hénjì mark, trace, vestige; 伤痕 shānghén scar",,,,
2016,弗,fú,fu,"<archaic> not",,,,
2017,姚,Yáo,Yao,"<family name>",,,,
2018,债,zhài,zhai,debt,,,債,
2019,妥,tuǒ,tuo,"appropriate, ready",,,,
2020,璃,lí,li,"玻璃 bōli glass; 琉璃 liúlí coloured glaze",,,,
2021,掏,tāo,tao,"pull out, fish out (from pocket, etc.), dig",,,,
2022,刹,shā,sha,"(=刹车) brake, stop",,,剎,
2022,刹,chà,cha,"刹那 chànà instant, split second",,,,
2023,晶,jīng,jing,"bright; 水晶 shuǐjīng (rock) crystal; 晶体管 jīngtǐguǎn transistor; 晶营 jīngyíng sparkling",,,,
2024,衷,zhōng,zhong,"inner feelings, middle; 衷心 zhōngxīn wholehearted; 无动于衷 wú dòng yú zhōng indifferent, unconcerned",,,,
2025,肤,fū,fu,"(=皮肤 pífu) skin; 肤色 fūsè color of skin",,,膚,
2026,鹿,lù,lu,deer,,,,
2027,拓,tà,ta,"make rubbings from stone/bronze",,,,
2027,拓,tuò,tuo,"open up, develop",,,,
2028,卓,zhuó,zhuo,"tall, <family name>, (=卓越 zhuóyuè) outstanding",,,,
2029,症,zhèng,zheng,"disease; 健忘症 jiànwàngzhèng amnesia",,,癥,
2029,症,zhēng,zheng,"症结 zhēngjié crucial reason, obstruction of the bowels",,,,
2030,糖,táng,tang,"sugar, (=糖果 tángguǒ) candy; 糖醋 tángcù sweet and sour",,,,
2031,钦,qīn,qin,"by the emperor himself, respect, (=钦佩 qīnpèi) admire; 钦差 qīnchāi imperial envoy",,,欽,
2032,绵,mián,mian,"连绵 unbroken; 海绵 sponge",,,綿,
2032,绵,miān,mian,"软绵绵 soft",,,,
2033,哩,lī,li,"<used as for sound value>",,,,
2033,哩,lǐ,li,"(=英里 Yīnglǐ) Britittish mile",,,,
2034,诱,yòu,you,"guide, lead, lure",,,誘,
2035,枯,kū,ku,"withered, dried up, dull",,,,
2036,歇,xiē,xie,"have a rest; 间歇 jiànxiē intermission",,,,
2037,塑,sù,su,"model, mould; 塑料 sùliào plastic; 塑像 sùxiàng statue",,,,
2038,妨,fáng,fang,"(=妨碍 fáng'ài) hinder, impede, harm; 不妨 bùfáng might as well, no harm in...",,,,
2039,豫,yù,yu,"short name for Henan; 犹豫 yóuyù hesitate",,,,
2040,抑,yì,yi,"press down, restrain; 抑制 yìzhì restrain, inhibition",,,,
2041,珊,shān,shan,"珊瑚 shānhú coral; 珊瑚礁 shānhújiāo coral reef",,,,
2042,棍,gùn,gun,"(棍子) rod, stick; 拐棍 guǎigùn walking stick",,,,
2043,晋,jìn,jin,"enter, advance, promote, a dynasty (265-420), <family name>, short name for Shanxi province",,,晉,
2044,淋,lín,lin,"pour, drench; 冰淇淋 bīngqilín ice cream",,,,
2044,淋,lìn,lin,"strain, filter",,,,
2044,淋,līn,lin,"湿淋淋 shīlīnlīn drenched",,,,
2045,悦,yuè,yue,"(=喜悦 xǐyuè) happy, joyful, delighted",,,悅,
2046,敦,dūn,dun,"敦厚 dūnhòu honest, sincere; 敦煌 Dūnhuáng (in Gansu)",,,,
2046,敦,duì,dui,"ancient vessel",,,,
2047,艳,yàn,yan,"beauteous, amorous, (=艳丽 yànlì) gorgeous, respendent; 鲜艳 xiānyàn bright (color)",,,艷,
2048,玻,bō,bo,"玻璃 bōli glass",,,,
2049,砸,zá,za,"strike, smash, break",,,,
2050,嚷,rǎng,rang,"shout, yell",,,,
2050,嚷,rāng,rang,"嚷嚷 rāngrang shout",,,,
2051,盲,máng,mang,"(=盲目 mángmù) blind, unable to distinguish; 盲动 mángdòng act blindly",,,,
2052,辨,biàn,bian,"distinguish, differentiate",,,,
2053,葛,gé,ge,"kudzu vine, grass-cloth",,,,
2053,葛,Gě,Ge,"<family name>",,,,
2054,罕,hǎn,han,"rarely, seldom",,,,
2054,罕,han,han,"希罕 xīhan rare, cherish",,,,
2055,矩,jǔ,ju,"(carpenter's square); 矩阵 jǔzhèn matrix",,,,
2056,泳,yǒng,yong,"游泳 yóuyǒng swim",,,,
2057,宅,zhái,zhai,"residence, house",,,,
2058,贷,dài,dai,"borrow, (=贷款 dàikuǎn) lend, loan",,,貸,
2059,膀,bǎng,bang,"upper arm, (=肩膀 jiānbǎng) shoulder; 翅膀 chìbǎng wing;",,,,
2059,膀,pāng,pang,swell,,,,
2059,膀,páng,pang,"膀胱 pángguāng urinary bladder",,,,
2060,捏,niē,nie,"hold between the fingers, knead, fabricate",,,,
2061,颈,jǐng,jing,"(=颈项 jǐngxiàng) neck",,,頸,
2061,颈,gěng,geng,"脖颈儿 bógěngr nape",,,,
2062,践,jiàn,jian,"实践 put into practice; 践踏 trample",,,踐,
2063,脖,bó,bo,"(=脖子 bózi) neck",,,,
2064,贾,gǔ,gu,merchant,,,賈,
2064,贾,Jiǎ,Jia,"<family name>",,,,
2065,轿,jiào,jiao,"sedan chair; 轿车 jiàochē car",,,轎,
2066,脾,pí,pi,"spleen; 脾气 píqi (bad-) temper",,,,
2067,堡,bǎo,bao,"(=堡垒 bǎolěi), fort, fortress; 城堡 chéngbǎo castle",,,,
2067,堡,bǔ,bu,"(=堡子 bǔzi) walled town/village (used mostly in place names)",,,,
2067,堡,pù,pu,"walled town/village (used mostly in place names)",,,,
2068,娇,jiāo,jiao,"graceful, delicate; 娇嫩 jiāonèn tender and lovely",,,嬌,
2069,浙,Zhè,Zhe,"浙江省 Zhèjiāngshěng Zhejiang Province",,,,
2070,劣,liè,lie,"bad, inferior, minor",,,,
2071,潇,xiāo,xiao,"deep and clear water; 潇洒 xiāosǎ natural & unrestrained",,,瀟,
2072,赐,cì,ci,"give, grant, gift (from superior to inferior)",,,賜,
2073,陀,tuó,tuo,"陀螺 tuóluó top (spiraling toy); 陀螺仪 tuóluóyí gyroscope",,,,
2074,蓄,xù,xu,"store, save, grow; 积蓄 jīxù save; 储蓄 chǔxù deposit",,,,
2075,坟,fén,fen,"grave, tomb",,,墳,
2076,颂,sòng,song,"praise, song, ode; 歌颂 gēsòng sing the praises of",,,頌,
2077,漏,lòu,lou,"(=漏水 lòushuǐ) leak out",,,,
2078,杭,Háng,Hang,"杭州 Hángzhōu",,,,
2079,茅,máo,mao,"straw, thatch; (茅草 máocǎo) grass for thatching; 白茅 báimáo edible wild grass",,,,
2080,砖,zhuān,zhuan,brick,,,磚,
2081,瞬,shùn,shun,"wink; 瞬间 shùnjiān a moment, in the twinkling of an eye",,,,
2082,鹤,hè,he,"crane (emblem of longevity)",,,鶴,
2083,辟,bì,bi,"monarch; 复辟 fùbì restore a dethored monarch or old order",,,,
2083,辟,pì,pi,"开辟 kāipì open up, start",,,,
2084,渔,yú,yu,"to fish; 渔民 yúmín fisherfolk; 渔业 yúyè fishery",,,漁,
2085,乖,guāi,guai,"clever, (=乖乖 guāiguāi) obedient, well-behaved",,,,
2086,霸,bà,ba,"overlord, tyrant, dominate; 霸占 bàzhàn sieze",,,,
2087,襄,xiāng,xiang,"(=襄助 xiāngzhù) assist, help",,,,
2088,炒,chǎo,chao,"stir fry, saute; 炒饭 chǎofàn fried rice; 炒面 chǎomiàn ""chow mein"", fried noodles",,,,
2089,哑,yǎ,ya,"mute, dumb, hoarse",,,啞,
2089,哑,yā,ya,"<interjection indicating surprice, same as 呀>, ah, oh",,,,
2090,浦,pǔ,pu,"riverside, river mouth (mostly used in place names), <family name>",,,,
2091,饼,bǐng,bing,"cake; 饼干 bǐnggān cracker, cookie",,,餅,
2092,牺,xī,xi,"sacrificial animal; 牺牲 xīshēng sacrifice",,,犧,
2093,滩,tān,tan,"(=海滩 hǎitān) beach, sands",,,灘,
2094,钉,dīng,ding,"a nail, to follow closely",,,釘,
2094,钉,dìng,ding,"to nail",,,,
2095,吁,yù,yu,"plead, (=呼吁 hūyù) appeal",,,,
2095,吁,xū,xu,"吁吁 xūxū panting, puffing hard",,,,
2095,吁,yū,yu,"<interjection ""Whoa!"">",,,,
2096,锡,xī,xi,"tin (Sn)",,,錫,
2097,赠,zèng,zeng,"(=赠送 zèngsòng) give as a present",,,贈,
2098,哄,hōng,hong,hubbub,,,,
2098,哄,hǒng,hong,"fool, coax",,,,
2098,哄,hòng,hong,horseplay,,,,
2099,铃,líng,ling,bell,,,鈴,
2100,顽,wán,wan,"stupid, stubborn, naughty; 顽强 wánqiáng indomitable; 顽固 wángù obstinate",,,頑,
2101,殖,zhí,zhi,"propagate, (=繁殖 fánzhí) breed, reproduce, colonize; 殖民地 zhímíndì colony",,,,
2101,殖,shi,shi,"骨殖 gǔshi skeleton",,,,
2102,鹰,yīng,ying,"hawk, eagle",,,鷹,
2103,蔡,Cài,Cai,"<family name>, sacrificial tortoise",,,,
2104,催,cuī,cui,"urge, hurry, hasten",,,,
2105,芙,fú,fu,"芙蓉 fúróng cottonrose hibiscus, lotus",,,,
2106,彬,bīn,bin,"彬彬 bīnbīn <archaic> refined, urbane",,,,
2107,拚,pīn,pin,"(= 拼) put/piece together, spell, risk life",,,,
2107,拚,pàn,pan,"abandon and ignore",,,,
2108,轨,guǐ,gui,"track, rail, course, path; 轨道 guǐdào orbit",,,軌,
2109,哟,yō,yo,Oh!,,,喲,
2109,哟,yo,yo,"<interjection indicating exhortation>",,,,
2109,哟,yāo,yao,ouch,,,,
2110,歉,qiàn,qian,"apology; 道歉 dàoqiàn apologize; 抱歉 bàoqiàn regret, be sorry",,,,
2111,盯,dīng,ding,"stare at",,,,
2112,硕,shuò,shuo,"very large; 硕士学位 shuòshìxuéwèi Master's degree",,,碩,
2113,惹,rě,re,"offend, ask for (trouble); 惹麻烦 rě máfán excite or invite trouble",,,,
2114,契,qì,qi,"(=契约 qìyuē) contract, legal agreement",,,,
2114,契,qiè,qie,"契阔 qièkuò long separation, to be separated from one another",,,,
2115,愚,yú,yu,"make a fool of, dupe, (=愚蠢 yúchǔn) foolish, stupid",,,,
2116,帅,shuài,shuai,"commander in chief, graceful",,,帥,
2117,惶,huáng,huang,"afraid, fearful, (=惶恐 huángkǒng) alarmed, anxious, uneasy, (= 忧惶 yōuhuáng, (= 惶惑 huánghuò) apprehensive; 惊惶 scared, alarmed",,,,
2118,憾,hàn,han,"(=遗憾 yíhàn) regret, sorry",,,,
2119,懒,lǎn,lan,"lazy, sluggish; 伸懒腰 shēn lǎnyāo stretch oneself",,,懶,
2120,姨,yí,yi,"aunt (mother's sister), sister-in-law (wife's sister)",,,,
2121,喘,chuǎn,chuan,"(=喘气 chuǎnqì) pant, gasp for breath; 气喘 qìchuǎn asthma",,,,
2122,兽,shòu,shou,"beast, wild animal, (=野兽 yěshòu) beastly, crude, uncivilized",,,獸,
2123,陌,mò,mo,"path between fields, (=陌生 mòshēng) strange; 陌生人 mòshēngrén stranger",,,,
2124,罩,zhào,zhao,"cover, hood, overalls, cage",,,,
2125,猎,liè,lie,"(=打猎 dǎliè) hunt, chase; 猎人 lièren hunter; 猎狗 liègǒu hound",,,獵,
2126,嵩,sōng,song,"lofty (mountain); 嵩山 Sōngshān mountain in Hénán",,,,
2127,盐,yán,yan,salt,,,鹽,
2128,饥,jī,ji,"starve, be hungry, famine; 饥饿 jī'è hunger, starvation",,,飢,
2129,凄,qī,qi,"cold, chilly, sad; 凄凉 qīliáng desolate; 凄惨 qīcǎn wretched",,,,
2130,喉,hóu,hou,"(=喉咙 hóulóng) throat, larynx",,,,
2131,宴,yàn,yan,"(=宴会 yànhuì) banquet",,,,
2132,腔,qiāng,qiang,"cavity, tune, pitch, accent, speech",,,,
2133,翰,hàn,han,"writing brush, writing",,,,
2134,膝,xī,xi,"(=膝盖 xīgài) knee",,,,
2135,陵,líng,ling,"hill, mound, tomb; 十三陵 Shísānlíng the 13 Ming tombs",,,,
2136,蜂,fēng,feng,"bee, wasp; 蜜蜂 mìfēng honeybee; 蜂房 fēngfáng beehive",,,,
2137,逻,luó,luo,"patrol; 逻辑 luóji <loan> logic",,,邏,
2138,劈,pī,pi,"chop, split",,,,
2138,劈,pǐ,pi,"divide, split",,,,
2139,廉,lián,lian,"honest, clean, low-priced",,,,
2140,裹,guǒ,guo,"bind, wrap; 包裹 bāoguǒ bundle, package",,,,
2141,骄,jiāo,jiao,"severe, (=骄傲 jiāo'ào) arrogant, proud",,,驕,
2142,贩,fàn,fan,"贩子 fànzi dealer; 贩卖 fànmài deal in, traffic, peddle",,,販,
2143,绘,huì,hui,"paint, draw; 绘画 huìhuà drawing, painting",,,繪,
2144,崖,yá,ya,"(=崖壁 yábì) precipice, cliff",,,,
2145,辰,chén,chen,"time, day, occasion, celestial bodies, 2-hr period; 星辰 xīngchén star",,,,
2146,涯,yá,ya,"天涯 tiānyá edge of world; 生涯 shēngyá career, profession",,,,
2147,戈,gē,ge,"ancient Chinese weapon similar to dagger axe or halberd",,,,
2148,坑,kēng,keng,"hole, pit",,,,
2149,遮,zhē,zhe,"cover, hide, block",,,,
2150,擒,qín,qin,"capture, catch, seize",,,,
2151,蛮,mán,man,"quite, very, fierce, (=野蛮 yěmán) barbaric; 蛮横 mánhèng unreasonable",,,蠻,
2152,芷,zhǐ,zhi,"白芷 báizhǐ <Chinese medicine> root of Dahurian Angelica",,,,
2153,堵,dǔ,du,"stop up, block, <classifier for walls>, <family name>; 一堵墙 yì dǔ qiáng a wall",,,,
2154,雇,gù,gu,"(=雇佣 gùyōng) hire, employ; 雇主 gùzhǔ employer; 雇员 gùyuán employee",,,,
2155,挽,wǎn,wan,"draw, pull, roll up; 挽救 wǎnjiù rescue; (F輓) pull (cart/carriage); lament",,,,
2156,眠,mián,mian,"(睡眠 shuìmián) sleep; 冬眠 dōngmián hibernate",,,,
2157,吻,wěn,wen,"kiss, animal's mouth, muzzle, lips",,,,
2158,孝,xiào,xiao,"filial, filial piety, mourning",,,,
2159,泊,bó,bo,"at anchor, moor, berth",,,,
2159,泊,pō,po,"湖泊 húpō lakes",,,,
2160,撕,sī,si,"rip, tear; 撕毁 sīhuǐ tear apart",,,,
2160,撕,xī,xi,"提撕 tíxī arouse attention, help and guide",,,,
2161,虹,hóng,hong,"(=彩虹 cǎihóng) rainbow",,,,
2161,虹,jiàng,jiang,"<colloquial> rainbow",,,,
2162,叙,xù,xu,"chat, (=叙述 xùshù, =叙事 xùshì) narrate, relate",,,敘,
2163,粹,cuì,cui,"(=纯粹 chúncuì) pure, unadulterated",,,,
2164,勉,miǎn,mian,"make an effort; 勉强 miǎnqiǎng force; with difficulty",,,,
2165,竭,jié,jie,"(=竭力 jiélì) do one's utmost, (=竭尽 jiéjìn) use up, exhaust",,,,
2166,歪,wāi,wai,"crooked, askew, inclined, devious",,,,
2167,慎,shèn,shen,"cautious, careful",,,,
2168,棵,kē,ke,"<classifier for trees, cabbages, etc.>; 一棵树 yí kè shù a tree",,,,
2169,朴,pǔ,pu,"(F樸) (=朴素 pǔsù) simple",,,,
2169,朴,Piáo,Piao,"<family name>",,,,
2169,朴,pò,po,"朴树 pòshù Chinese hackberry",,,,
2169,朴,pō,po,"朴刀 pōdāo a type of long knife",,,,
2170,械,xiè,xie,"machinery, (=机械 jīxiè) mechanical; 器械 qìxiè apparatus",,,,
2171,溪,xī,xi,"(=溪流 xīliú) brook, small stream",,,,
2172,莉,lì,li,"茉莉 mòli jasmine; 茉莉花茶 mòli huāchá jasmine tea",,,,
2173,斑,bān,ban,"spot, speck, stripe; 斑马 bānmǎ zebra",,,,
2174,磕,kē,ke,"knock against; 磕头 kētóu kowtow; 磕碰 kēpèng collide with",,,,
2175,寡,guǎ,gua,"few, scant, tasteless; 寡妇 guǎfu widow; 沉默寡言 chénmòguǎyán habitually silent",,,,
2176,循,xún,xun,"follow, abide by; 循环 xúnhuán circulate, cycle",,,,
2177,斩,zhǎn,zhan,chop,,,斬,
2178,掠,lüè,lüe,"take by force, (=掠夺 lüèduó) pillage, plunder; (掠过 lüèguò) sweep past",,,,
2178,掠,lüě,lüe,"sweep/brush past, snatch away",,,,
2179,吕,Lǚ,Lǚ,"<family name>",,,呂,
2180,昔,xī,xi,"(=昔日 xīrì) former times, the past; 往昔 wǎngxī in the past",,,,
2181,郊,jiāo,jiao,"(=郊区 jiāoqū, =郊外 jiaowài) suburbs, outskirts",,,,
2182,爵,jué,jue,"rank of nobility, peerage; 爵士 juéshì knight; 爵士音乐 juéshì yīnyuè jazz",,,,
2183,徽,huī,hui,"emblem, badge, insignia; 安徽省ānhuī shěng Anhui Province",,,,
2184,磁,cí,ci,"magnetism; 磁铁 cítiě magnet; 磁带 cídài (magnetic) tape",,,,
2185,俯,fǔ,fu,"bow (one's head), bend down; 俯冲 fǔchōng dive; 俯瞰 fǔkàn look down at, overlook",,,,
2186,谭,tán,tan,"talk, <family name>; 天方夜谭 tiānfāngyètán the story of Arabian Nights",,,譚,
2187,鼎,dǐng,ding,"ancient cooking vessel, tripod",,,,
2188,拂,fú,fu,"stroke, touch lightly, whisk, flick, go against (somebody's wishes); 拂晓 fúxiǎo before daybreak",,,,
2188,拂,bì,bi,"(=弼) assist",,,,
2189,俺,ǎn,an,"I, we; 俺们 ǎnmen we (refers to speakers only)",,,,
2190,嫂,sǎo,sao,"(=大嫂 dàsǎo) elder brother's wife, sister-in-law",,,,
2191,帕,pà,pa,"kerchies, (=手帕 shǒupà) handkerchief",,,,
2192,嗯,ńg,?g,"What?, Huh?",,,,
2192,嗯,ňg,?g,"How come?, Why?",,,,
2192,嗯,?g,?g,"O.K., Agreed!",,,,
2193,冻,dòng,dong,freeze,,,凍,
2194,婉,wǎn,wan,"gentle, (=婉转 wǎnzhuǎn) tactful, agreeable",,,,
2195,桐,tóng,tong,"parasol tree; 桐油 tóngyóu tung oil",,,,
2196,骆,luò,luo,"(=骆驼 luòtuo) camel",,,駱,
2197,泼,pō,po,"splash, spoll, sprinkle; rude and unreasonable; 活泼 huópo lively",,,潑,
2198,匠,jiàng,jiang,artisan,,,,
2198,匠,jiang,jiang,"木匠 mùjiang carpenter; 铁匠 tiějiàng blacksmith",,,,
2199,艇,tǐng,ting,"light boat",,,,
2200,谦,qiān,qian,"谦虚 qiānxū, 谦逊 qiānxùn modest",,,謙,
2201,妓,jì,ji,"(=娼妓 chāngjì) prostitute, <traditional> female performer",,,,
2202,菩,pú,pu,"菩萨 púsà bodhisattva, benevolent being",,,,
2203,厕,cè,ce,"(=厕所 cèsuǒ) toilet",,,廁,
2203,厕,si,si,"(=茅厕 máosi) latrine",,,,
2204,俘,fú,fu,"capture, (=俘虏 fúlǔ) prisoner, captive",,,,
2205,毅,yì,yi,"resolute; 毅力 yìlì willpower; 坚毅 jiānyì determined",,,,
2206,岭,lǐng,ling,"mountain, (=山岭 shānlǐng) mountain range, ridge; 峻岭 jùnlǐng high mountains",,,嶺,
2207,丫,yā,ya,"fork, bifurcation; 丫头 yātou girl, maid, servant, salve girl",,,,
2208,畏,wèi,wei,"fear, respect; 畏惧 wèijù dread; 畏缩 wèisuō flinch",,,,
2209,湘,Xiāng,Xiang,"short name for 湖南 Húnán; 湘江 Xiāng Jiāng a river in Hunan",,,,
2210,桶,tǒng,tong,bucket,,,,
2211,嗓,sǎng,sang,"(=嗓子 sǎngzi) throat, (=嗓音 sǎngyīn) voice, (=嗓门儿 sǎngménr) larynx, voice",,,,
2212,煌,huáng,huang,"bright, brilliant; 敦煌石窟 Dūnhuáng Shíkū Gansu Caves",,,,
2213,鲍,bào,bao,"<family name>, (=鲍鱼 bàoyú) abalone",,,鮑,
2214,粒,lì,li,"grain, granule; 粒子 lìzǐ <terminology in physics> particle",,,,
2215,巷,xiàng,xiang,"lane, alley",,,,
2215,巷,hàng,hang,"巷道 hàngdào tunnel (in a mine)",,,,
2216,帘,lián,lian,"flag as shop sign; (F簾) curtain",,,,
2217,秃,tū,tu,"bald, bare, blunt, incomplete",,,禿,
2218,腊,là,la,"(F臘) (=腊月 làyuè) 12th lunar month, cured (fish/meat/etc.); 腊肠 làcháng sausage; 希腊 Xīlà Greece",,,,
2218,腊,xī,xi,"dried meat",,,,
2219,仓,cāng,cang,warehouse,,,倉,
2220,拐,guǎi,guai,"(=拐弯 guǎiwān) turn, change direction, limp, swindle, abduct; 拐棍 guǎigùn walking stick",,,,
2221,绑,bǎng,bang,"bind, tie; 绑架 bǎngjià kidnap",,,綁,
2222,啥,shá,sha,"(=啥子 sházi) what? (= 什么 shénme)",,,,
2223,荐,jiàn,jian,"recommend, <archaic> grass, straw",,,薦,
2224,倪,ní,ni,"<family name>, (=端倪 duānní) clue",,,,
2225,瑟,sè,se,"musical instrument with 25 strings",,,,
2226,廊,láng,lang,hall,,,,
2227,鸭,yā,ya,"(=鸭子 yāzi) duck; 唐老鸭 Táng lǎoyā Donald Duck",,,鴨,
2228,蜜,mì,mi,"(=蜂蜜 fēngmì) honey; 蜜蜂 mìfēng honeybee",,,,
2229,诊,zhěn,zhen,"诊断 zhěnduàn diagnose; 诊所 zhěnsuǒ clinic",,,診,
2230,棚,péng,peng,"shed, shack, canopy; 窝棚 wōpeng shack",,,,
2231,掀,xiān,xian,"lift (a cover, etc.), surge",,,,
2232,筒,tǒng,tong,"tube; 电筒 diàntǒng flashlight",,,,
2233,媳,xí,xi,"(=媳妇 xífù) daughter-in-law; 童养媳 tóngyǎngxí child bride",,,,
2234,纹,wén,wen,"lines, veins, (wood) grain",,,紋,
2235,秒,miǎo,miao,"second (1/60 of a 分 minute)",,,,
2236,沾,zhān,zhan,"moisten, soak, touch",,,,
2237,庞,páng,pang,"(=庞大 pángdà) colossal, huge",,,龐,
2238,蹲,dūn,dun,"squat on the heels, stay",,,,
2239,骚,sāo,sao,"(=骚动 sāodòng, =骚乱 sāoluàn) disturb, harass",,,騷,
2240,歧,qí,qi,"(of roads:) fork, branch, divergent; 歧视 qíshì discriminate",,,,
2241,艘,sōu,sou,"<classifier for boats, vessels, etc.>; 两艘油船 liǎng sōu yóuchuán two oil tankers",,,,
2242,芝,zhī,zhi,"<traditional> iris; 哗芝麻 zhīma sesame",,,,
2243,哗,huá,hua,"clamor, hubbub, (=喧哗 xuānhuá) noise, clamor",,,嘩,
2243,哗,huā,hua,"<the sound of clanging, gurgling, etc.>",,,,
2244,亩,mǔ,mu,"sixth of an acre (0.0667 hectares)",,,畝,
2245,券,quàn,quan,"ticket, certificate; 入场券 rùchǎngquàn admission ticket",,,,
2245,券,xuàn,xuan,"拱券 gǒngxuàn span of an arch",,,,
2246,趟,tàng,tang,"<classifier for trips, times, rows, etc.>",,,,
2246,趟,tāng,tang,"(=蹚 tāng) ford, wade",,,,
2247,巾,jīn,jin,"piece of cloth; 毛巾 máojīn towel; 餐巾 cānjīn napkin; 围巾 wéijīn scarf",,,,
2248,淫,yín,yin,"excessive, over, wanton, lewd, licentious",,,,
2249,谎,huǎng,huang,"lie, prevaricate",,,謊,
2250,寞,mò,mo,"quiet; 寂寞 jìmò lonely",,,,
2251,灌,guàn,guan,"pour; 灌溉 guàngài irrigate; 灌木 guànmù bush",,,,
2252,篮,lán,lan,"basket; 篮球 lánqiú basketball",,,籃,
2253,妄,wàng,wang,"absurd, rash; 妄想狂 wàngxiǎngkuáng paranoia",,,,
2254,搁,gē,ge,put,,,擱,
2254,搁,gé,ge,endure,,,,
2255,侄,zhí,zhi,"brother's son, nephew; 侄女 zhúnǚ brother's daughter, neice",,,,
2256,厢,xiāng,xiang,"wing of a house, side, railway carriage",,,廂,
2257,叉,chā,cha,"(=叉子 chāzi) fork, intersection, (=交叉 jiāochā) intersect",,,,
2257,叉,chá,cha,"obstruct, jam up",,,,
2257,叉,chǎ,cha,"the distance between thumb and middle minger on an outstretched hand",,,,
2257,叉,chà,cha,"fork, diverge; 叉路 chàlù crossroad",,,,
2258,俞,Yú,Yu,"<family name>, small boat",,,,
2258,俞,shù,shu,(=腧),,,,
2259,伐,fá,fa,"fell, cut down, attack",,,,
2260,宰,zǎi,zai,"slaughter, butcher, govern; 宰割 zǎigē invade and oppress",,,,
2261,瞒,mán,man,"hide the truth from",,,瞞,
2262,宙,zhòu,zhou,"宇宙 yǔzhòu cosmos",,,,
